Solyc05g050120.3	GO:0005741; GO:0006820; GO:0008308; GO:0044070; GO:0055085
Solyc05g012530.1	GO:0005975; GO:0006098; GO:0017057
Solyc01g087210.3	GO:0006614
Solyc09g005850.3	GO:0008137; GO:0042773; GO:0055114
Solyc08g061100.3	GO:0016491; GO:0055114
Solyc06g048750.3	GO:0005515
Solyc06g076260.3	GO:0009522; GO:0015979; GO:0016021; GO:0046872
Solyc02g077720.3	GO:0004867
Solyc05g005540.3	GO:0003729; GO:0005849; GO:0006378
Solyc08g029170.3	GO:0046872
Solyc03g119200.3	GO:0004497; GO:0005506; GO:0016705; GO:0020037; GO:0055114
Solyc01g103140.3	GO:0016021
Solyc06g071290.3	GO:0016491; GO:0055114
Solyc07g056360.1	GO:0003824
Solyc02g093680.3	GO:0005515
Solyc09g098550.3	GO:0003855
Solyc12g088910.2	GO:0005975
Solyc10g044680.2	GO:0016579; GO:0036459
Solyc10g081955.1	GO:0003677
Solyc02g091130.3	GO:0004450; GO:0006102; GO:0055114
Solyc01g008790.3	GO:0004722; GO:0006470
Solyc05g012805.1	GO:0071705
Solyc04g050990.3	GO:0004553; GO:0005975
Solyc07g061790.3	GO:0003824
Solyc01g096230.3	GO:0051287; GO:0055114
